,0,8,4,12,2,10,6,14,1,9,5,13,3,11,7,15
,"0000","0001","0010","0011","0100","0101","0110","0111","1000","1001","1010","1011","1100","1101","1110","1111"
L1,"-","L1_1","-","L11_1","-","FASTER","-","-","L11000","L1_1","-","L11_1","L11100","L1_1","L0_0","L11111",
L10,"-","-","L10_1","L11_1","-","-","L110_1","L111_1","-","-","FASTER","-","-","-","-","-",
L100,"-","-","-","-","L100_1","-","L110_1","L111_1","-","-","FASTER","-","L1100_1","-","L1110_1","L1111_1",
L1000,"-","-","-","-","-","-","-","-","L1000_1","-","FASTER","-","L1100_1","-","L1110_1","L1111_1",
L11,"-","L1_1","L10_1","L11_1","-","FASTER","-","L111_1","L000_0","L1_1","FASTER","L11_1","L00_0","L01_0","L0_S","L111111",
L110,"-","-","L10_1","L11_1","L100_1","-","L110_1","L111_1","-","-","FASTER","-","-","-","L1110_1","L1111_1",
L1100,"-","-","-","-","L100_1","-","L110_1","L111_1","L1000_1","-","FASTER","-","L1100_1","-","L1110_1","L1111_1",
L11000,"-","-","-","-","-","-","-","-","L1000_1","-","FASTER","-","L1100_1","-","L1110_1","L1111_1",
L111,"L0000_0","L0001_0","L10_1","L11_1","FASTER","FASTER","L110_1","L111_1","L000_0","L001_0","-","L011_0","L00_S","L01_0","L0_S","L1111111",
L1110,"L00000_0","L1_00","L0_01","L00011_0","L100_1","-","L110_1","L111_1","-","-","FASTER","-","L1100_1","-","L1110_1","L1111_1",
L11100,"L000000_0","L1_00","-","-","L00_01","-","L0_01","-","L1000_1","-","FASTER","-","L1100_1","-","L1110_1","L1111_1",
L1111,"L0000_0","L0001_0","L0_01","L0011_0","-","FASTER","L0_01","L0111_0","L000_S","L001_0","-","L011_0","L00_S","L01_CHOICE","L0_S","L1111111",
L11111,"L0000_0","L0001_0","L0_01","L0011_0","-","FASTER","L0_01","L0111_0","L000_0","L001_0","-","L011_0","-","-","-","SLOWER",
L111111,"L0000_S","L0001_CHOICE","L0_UZ","L11_TZ","-","FASTER","L0_UZ","L0111_CHOICE","L000_S","L1_TZ","-","L11_TZ","L00_S","L1_TZ","SLOWER","SLOWER",
L1111111,"L0000_S","L1_TY","L0_UZ","L11_TZ","-","FASTER","L0_UZ","L111_TZ","L000_S","-","-","L11_TZ","-","-","SLOWER","SLOWER",
L11111a,"L0000_S","L1_TZ","-","L11_TZ","-","FASTER","-","L111_TZ","L000_S","L1_TZ","-","L11_TZ","L00_S","L1_TZ","L0_S","-",
L0,"L00000","L1_0","L0_1","L00011","L00_1","-","L0_1","L00111","-","-","FASTER","-","L00_1","-","L0_1","-",
L01,"-","-","-","-","-","FASTER","-","-","L000_1","L001_1","-","-","L00_1","L01_1","-","-",
L011,"L0000_1","L0001_1","-","L0011_1","-","FASTER","-","-","L000_1","L001_1","-","L011_1","-","-","-","-",
L0111,"L0000_1","L0001_1","-","L0011_1","-","FASTER","-","L0111_1","-","-","-","-","-","-","-","-",
L00,"L000000","L1_S","L10_0","L11_0","L00_1","FASTER","L0_1","L111_0","L000_1","-","FASTER","-","L00_1","L01_1","L0_1","-",
L001,"L0000_1","L0001_1","-","-","-","FASTER","-","-","L000_1","L001_1","-","L011_1","L00_1","L01_1","-","-",
L0011,"L0000_1","L0001_1","-","L0011_1","-","FASTER","-","L0111_1","L000_1","L001_1","-","L011_1","-","-","-","-",
L00111,"L0000_1","L0001_1","-","L0011_1","-","FASTER","-","L0111_1","-","-","-","-","-","-","-","-",
